company,quarter,estimatedAmazonRevenueUsd,estimatedAmazonRevenueKrw,dartRevenueKrw,estimatedIndex,dartIndex,indexGap,revenueRatio,monthsPresent,confidence
coway,2026-Q1,14337.829001560327,19356069.15210644,1329735479100,5592.3216356924595,187.48260482660226,5404.839030865857,0.000014556330530645943,3,low
coway,2026-Q2,12910.835647634218,17429628.124306194,,5035.737664277967,,,,3,low
samyang,2017-Q2,0.07616603812029037,102.824151462392,,100,,,,2,not_enough_data
samyang,2017-Q3,0,0,,0,,,,1,not_enough_data
samyang,2017-Q4,0,0,,0,,,,2,not_enough_data
samyang,2018-Q1,0,0,,0,,,,3,low
samyang,2018-Q2,0.013162614119180963,17.7695290608943,,17.28147405854695,,,,3,low
samyang,2018-Q3,0.24139582837553364,325.88436830697043,,316.93368111689483,,,,3,low
samyang,2018-Q4,0.028833028700752703,38.92458874601615,,37.855492306447914,,,,3,low
samyang,2019-Q1,0.22993113805772802,310.40703637793285,120386288014,301.88144707565556,100,201.88144707565556,2.5784251802982323e-9,3,low
samyang,2019-Q2,0.49650870517272305,670.2867519831761,133686777102,651.8767647971634,111.04817608999893,540.8285887071645,5.01385975870869e-9,3,low
samyang,2019-Q3,0.16071975571752906,216.97167021866423,137641562216,211.01236152483276,114.33325546177929,96.67910606305347,1.5763528597428444e-9,3,low
samyang,2019-Q4,0.0517766924183254,69.8985347647393,151866331090,67.9787129488783,126.1491932306602,-58.170480281781906,4.6026353743487474e-10,3,low
samyang,2020-Q1,0.19801558150942103,267.3210350377184,156384418000,259.97883885819493,129.90218452604313,130.0766543321518,1.7093840835070817e-9,3,low
samyang,2020-Q2,0.13147482026329876,177.49100735545332,174087900755,172.6160681426783,144.6077486289426,28.0083195137357,1.0195482086101012e-9,3,low
samyang,2020-Q3,0.5111998058466508,690.1197378929786,167073943013,671.1650211335713,138.78153880246776,532.3834823311036,4.1306245932035046e-9,3,low
samyang,2020-Q4,0.20346995922481115,274.6844449534951,150960349682,267.1400065518275,125.39663127119964,141.7433752806279,1.8195800786903419e-9,3,low
samyang,2021-Q1,0.10431813206857599,140.8294782925776,140005906880,136.96147868926113,116.2972205470098,20.664258142251327,1.0058824047565613e-9,3,low
samyang,2021-Q2,0.4186970730406955,565.2410486049389,147566112640,549.7162296658254,122.57717641633673,427.13905324948865,3.83042582400942e-9,3,low
samyang,2021-Q3,0.38335328274977354,517.5269317121943,161669246780,503.3126209667581,134.29207715184234,369.02054381491575,3.2011464271646324e-9,3,low
samyang,2021-Q4,0.2901873970187563,391.752985975321,192789047859,380.9931620185603,160.14203198671606,220.85113003184426,2.0320292585387793e-9,3,low
samyang,2022-Q1,1.048410884377207,1415.3546939092296,202168672983,1376.4807915063577,167.93330562654222,1208.5474858798154,7.000860583520001e-9,3,low
samyang,2022-Q2,0.5827544805908884,786.7185487976993,255327674055,765.110664769689,212.09032878005786,553.0203359896311,3.081211434324321e-9,3,low
samyang,2022-Q3,0.5425421053248463,732.4318421885424,211532850123,712.3149880370565,175.71174725347487,536.6032407835817,3.462496920750868e-9,3,low
samyang,2022-Q4,0.8980513201602218,1212.3692822162996,240007374430,1179.0705441996517,199.3643781109764,979.7061660886753,5.051383463093949e-9,3,low
samyang,2023-Q1,0.7066027217359521,953.9136743435353,245561864921,927.7136361221809,203.97826776787323,723.7353683543076,3.884616508554453e-9,3,low
samyang,2023-Q2,0.37736263654375607,509.4395593340707,285360760301,495.44737504631735,237.03759373975774,258.4097813065596,1.7852474138235097e-9,3,low
samyang,2023-Q3,1.5728472256589594,2123.3437546395953,335246630561,2065.024339555294,278.47576006497803,1786.548579490316,6.33367664601551e-9,3,low
samyang,2023-Q4,1.143557833014607,1543.8030745697195,326745352197,1501.401229782447,271.4140934048918,1229.987136377555,4.724789699958566e-9,3,low
samyang,2024-Q1,1.2859044041233247,1735.9709455664884,385748770635,1688.2910492107694,320.4258366950731,1367.8652125156964,4.500263066837054e-9,3,low
samyang,2024-Q2,0.9277777672621614,1252.499985803918,424443489341,1218.0990243931365,352.56796794967255,865.531056443464,2.9509228372158e-9,3,low
samyang,2024-Q3,0.8565476499450946,1156.3393274258776,438969526997,1124.579499057485,364.63415745981905,759.9453415976659,2.6342132114190703e-9,3,low
samyang,2024-Q4,0.532604102346197,719.015538167366,478853216773,699.267174045532,397.7639186925616,301.50325535297037,1.5015364061096299e-9,3,low
samyang,2025-Q1,0.897390113766252,1211.47665358444,529013206877,1178.2024323609794,439.42978523889684,738.7726471220826,2.290068825949214e-9,3,low
samyang,2025-Q2,1.036955773455503,1399.8902941649292,553077609232,1361.4411344565679,459.4191069066614,902.0220275499064,2.53109196756095e-9,3,low
samyang,2025-Q3,1.5443386207164211,2084.8571379671685,632015696590,2027.5947900525164,524.9897700280462,1502.6050200244702,3.2987426565762225e-9,3,low
samyang,2025-Q4,1.8574482167360593,2507.55509259368,637678651087,2438.6829912336502,529.693756329494,1908.989234904156,3.932317772155694e-9,3,low
samyang,2026-Q1,1.7861417064756926,2411.291303742185,714406081624,2345.0631679893963,593.4281166148425,1751.6350513745538,3.375239049282443e-9,3,low
samyang,2026-Q2,1.3248447865667892,1788.5404618651653,,1739.4166997034013,,,,3,low
tnl,2017-Q3,33.31873236584328,44980.28869388843,,100,,,,1,not_enough_data
tnl,2018-Q1,5977.525932277903,8069660.008575169,,17940.43622861765,,,,2,not_enough_data
tnl,2018-Q2,97.96400325180677,132251.40438993915,,294.02079939942325,,,,1,not_enough_data
tnl,2018-Q3,4312.406241707333,5821748.426304899,,12942.88808576703,,,,2,not_enough_data
tnl,2018-Q4,566.4997797568844,764774.702671794,,1700.2440955335742,,,,3,low
tnl,2019-Q1,91.61228137628419,123676.57985798366,,274.9572833995347,,,,3,not_enough_data
tnl,2019-Q2,71.4056944089626,96397.68745209952,,214.3109576466486,,,,2,not_enough_data
tnl,2019-Q3,173.48852691270804,234209.51133215585,,520.6936596740394,,,,2,not_enough_data
tnl,2019-Q4,31.81583746439499,42951.38057693323,,95.48933949543354,,,,1,not_enough_data
tnl,2020-Q1,283.31856122898665,382480.057659132,,850.3281520980998,,,,2,low
tnl,2020-Q2,276.12101919537525,372763.3759137566,,828.7260636555336,,,,2,low
tnl,2020-Q3,262.0075407830543,353710.1800571233,,786.3670739516234,,,,3,low
tnl,2020-Q4,286.391877607054,386629.03476952296,,859.5521416074305,,,,2,low
tnl,2021-Q1,62.420975815716126,84268.31735121677,14588381399,187.34498999039658,100,87.34498999039658,0.0000057763993856777814,2,not_enough_data
tnl,2021-Q2,334.3594776390757,451385.29481275217,16712095159,1003.5180029293207,114.55756949256602,888.9604334367547,0.000027009497643367993,3,low
tnl,2021-Q3,86.45095815600578,116708.79351060781,18275875154,259.4665283383681,125.27692177867497,134.18960655969312,0.000006385948280296937,2,not_enough_data
tnl,2021-Q4,200.24311666921824,270328.20750344463,22319533752,600.9926022110541,152.9952716586499,447.99733055240415,0.000012111731835761183,2,not_enough_data
tnl,2022-Q1,881.6856014554592,1190275.56196487,14791078189,2646.215923746606,101.38943988682591,2544.82648385978,0.0000804725353186266,3,low
tnl,2022-Q2,107.0456984033857,144511.6928445707,23618376660,321.2778242221594,161.8985411336928,159.3792830884666,0.000006118612423067806,2,not_enough_data
tnl,2022-Q3,530.9267958343507,716751.1743763735,20462874904,1593.4783772825363,140.2683021805468,1453.2100751019893,0.000035026904955386594,3,low
tnl,2022-Q4,383.6101204676936,517873.66263138637,22705061691,1151.334679409808,155.6379770312036,995.6967023786043,0.00002280873180083298,3,low
tnl,2023-Q1,490.67300572483816,662408.5577285315,27042083369,1472.6640867881633,185.36726336791327,1287.2968234202501,0.000024495470585224625,3,low
tnl,2023-Q2,633.8455251506368,855691.4589533597,36452826189,1902.3698686701057,249.87574146847268,1652.494127201633,0.000023473940114184427,3,low
tnl,2023-Q3,1334.314668861805,1801324.8029634368,30027905481,4004.6981806236977,205.83438737801538,3798.8637932456822,0.00005998835996414121,3,low
tnl,2023-Q4,1169.2022467677734,1578423.0331364942,21938503901,3509.1438471602296,150.3833996450342,3358.760447515195,0.00007194761503607119,3,low
tnl,2024-Q1,1734.3581296100751,2341383.4749736013,24813644591,5205.354485178595,170.0918279576987,5035.262657220896,0.00009435870923301729,3,low
tnl,2024-Q2,1406.8252473454745,1899214.0839163905,54837421327,4222.325243044607,375.8979137381134,3846.427329306494,0.0000346335410739178,3,low
tnl,2024-Q3,1287.7625681237369,1738479.4669670449,48723833424,3864.9806780881236,333.9906744372608,3530.990003650863,0.000035680268665205606,3,low
tnl,2024-Q4,535.4054174953603,722797.3136187365,46516776899,1606.920130143461,318.86180945467066,1288.0583206887902,0.000015538422087758082,3,low
tnl,2025-Q1,392.17637110015085,529438.1009852036,51316578057,1177.0446930393748,351.76334271406995,825.2813503253049,0.000010317096755694216,3,low
tnl,2025-Q2,356.6351554214906,481457.4598190123,38764776964,1070.3743212844897,265.7236324151577,804.650688869332,0.000012419972395717157,3,low
tnl,2025-Q3,2448.490787796264,3305462.563524957,40673004849,7348.691303473285,278.8040957839781,7069.887207689307,0.00008126919994715429,3,low
tnl,2025-Q4,9107.178204300966,12294690.575806305,33403421964,27333.50748252714,228.97277669399108,27104.53470583315,0.00036806679833750896,3,low
tnl,2026-Q1,8867.796198140286,11971524.867489386,45066566043,26615.046757394382,308.9209475020252,26306.125809892357,0.00026564093780890306,3,low
tnl,2026-Q2,2097.9804686299244,2832273.632650398,,6296.699543049454,,,,3,low
