company,productFamily,asin,productName,month,split,kind,actualSales,actualRevenue,observedPrice,observedBsr,predictedSales,predictedRevenue,demandIndex,priceUsedForRevenue,confidence,modelKey,modelType,notes
coway,Other,B0078OMNN8,Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker  110V  Black,2024-07,test,observed_jungle_scout_estimate,0,0,10.32258064516129,255393.15384615384,0.7656245999906,245.7578403509827,84.37199648568948,320.99,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B0078OMNN8,Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker  110V  Black,2024-08,test,observed_jungle_scout_estimate,0,0,13.548064516129033,232576,0.720170447889885,302.46438640927283,103.84012209223236,419.99,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B0078OMNN8,Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker  110V  Black,2025-06,train,observed_jungle_scout_estimate,,,0,,0.7282155059951632,291.2789202430053,100,399.99,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,"[""monthly_sales_missing""]"
coway,Other,B00CCVNX0O,"CUCKOO Micom Rice Cooker 3 Cup Uncooked / 6 Cup Cooked, Korean Fuzzy Logic Rice Cooker Small with Delay Timer & Keep Warm Setting, Versatile Food Steamer with Non-Stick Inner Pot, Red (CR-0351F)",2016-11,holdout,keepa_backcast_estimate,,,78.945,284507,1.2429401232174941,98.12390802740507,74.83857420550713,78.945,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B00CCVNX0O,"CUCKOO Micom Rice Cooker 3 Cup Uncooked / 6 Cup Cooked, Korean Fuzzy Logic Rice Cooker Small with Delay Timer & Keep Warm Setting, Versatile Food Steamer with Non-Stick Inner Pot, Red (CR-0351F)",2016-12,holdout,keepa_backcast_estimate,,,73.045,284507,1.2653880311476176,92.43026873517772,70.49606629650965,73.045,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B00CCVNX0O,"CUCKOO Micom Rice Cooker 3 Cup Uncooked / 6 Cup Cooked, Korean Fuzzy Logic Rice Cooker Small with Delay Timer & Keep Warm Setting, Versatile Food Steamer with Non-Stick Inner Pot, Red (CR-0351F)",2017-02,holdout,keepa_backcast_estimate,,,82.6725,284507,1.2298091301297254,101.67139531064973,77.54422357911392,82.6725,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B00CCVNX0O,"CUCKOO Micom Rice Cooker 3 Cup Uncooked / 6 Cup Cooked, Korean Fuzzy Logic Rice Cooker Small with Delay Timer & Keep Warm Setting, Versatile Food Steamer with Non-Stick Inner Pot, Red (CR-0351F)",2017-03,holdout,keepa_backcast_estimate,,,77.17666666666666,284507,1.2494426619415817,96.42781983977812,73.54497691366923,77.17666666666666,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B00CCVNX0O,"CUCKOO Micom Rice Cooker 3 Cup Uncooked / 6 Cup Cooked, Korean Fuzzy Logic Rice Cooker Small with Delay Timer & Keep Warm Setting, Versatile Food Steamer with Non-Stick Inner Pot, Red (CR-0351F)",2017-04,holdout,keepa_backcast_estimate,,,84.445,284507,1.2238211029425416,103.34557303798293,78.82110988133131,84.445,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B00CCVNX0O,"CUCKOO Micom Rice Cooker 3 Cup Uncooked / 6 Cup Cooked, Korean Fuzzy Logic Rice Cooker Small with Delay Timer & Keep Warm Setting, Versatile Food Steamer with Non-Stick Inner Pot, Red (CR-0351F)",2017-05,holdout,keepa_backcast_estimate,,,81.155,284507,1.2350641161382163,100.23162834519695,76.44612109778407,81.155,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
coway,Other,B00CCVNX0O,"CUCKOO Micom Rice Cooker 3 Cup Uncooked / 6 Cup Cooked, Korean Fuzzy Logic Rice Cooker Small with Delay Timer & Keep Warm Setting, Versatile Food Steamer with Non-Stick Inner Pot, Red (CR-0351F)",2017-06,holdout,keepa_backcast_estimate,,,80.79,284507,1.2363463585476506,99.88442230706471,76.18130892945804,80.79,low,company:coway:ridge:none:asinh:lambda1:log_bsr+log_price+rating_avg+log_buybox_eligible_offer_count_total+log_live_offers+log_offer_count,ridge_search,[]
