modelKey,company,productFamily,asin,month,split,actualSales,predictedSales,actualRevenue,predictedRevenue,priceUsedForRevenue
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0BWL2J93X,2025-10,train,1136.3548387096773,841.2140215148551,26314.20903225806,19583.73378022761,23.280322580645166
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0BWL2J93X,2025-11,train,1095.9333333333334,959.6140816082628,22236.52933333333,19591.16121875376,20.41566666666667
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0BWL2J93X,2025-12,train,898.4516129032259,617.7316094065374,16326.926774193547,11227.570903355467,18.175483870967746
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0BWL2J93X,2026-01,train,1058.0967741935483,758.0437071525224,19035.16096774193,13637.206291673883,17.990000000000006
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0BWL2J93X,2026-02,train,1356.9642857142858,757.5482238978784,24411.7875,13628.292547922836,17.990000000000006
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0BWL2J93X,2026-03,train,1476.1612903225807,957.070712304309,26552.73193548387,17215.540986939646,17.98774193548388
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0BWL2J93X,2026-04,train,1204.7333333333333,688.2347592720029,20007.878333333323,11555.920431349778,16.79066666666667
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0BWL2J93X,2026-05,train,1208.375,625.73036561193,21738.66625,11256.889277358623,17.990000000000006
company:tnl:all:log_linear,tnl,Low-confidence Hero product,B0CGMC8WS9,2025-06,train,187.66666666666666,233.8340829829263,2792.4800000000005,3479.451154785943,14.879999999999997
company:tnl:all:log_linear,tnl,Low-confidence Hero product,B0CGMC8WS9,2025-07,train,243.16129032258064,251.82239519327288,3618.2400000000002,3747.1172404759,14.879999999999997
company:tnl:all:log_linear,tnl,Low-confidence Hero product,B0CGMC8WS9,2025-08,train,214.58064516129033,296.1066784820146,2882.3999999999996,3979.6737587982757,13.439999999999998
company:tnl:all:log_linear,tnl,Low-confidence Hero product,B0CGMC8WS9,2025-09,train,214.26666666666668,257.77176192128474,3096.5280000000002,3707.7890234757588,14.383999999999997
company:tnl:all:log_linear,tnl,Low-confidence Hero product,B0CGMC8WS9,2025-10,train,236.09677419354838,247.9459494378272,3291.5948387096773,3498.917259389415,14.111612903225803
company:tnl:all:log_linear,tnl,Low-confidence Hero product,B0CGMC8WS9,2025-11,train,291.96666666666664,268.5084048985951,3784.984666666666,3562.2115049880276,13.266666666666664
company:tnl:all:log_linear,tnl,Low-confidence Hero product,B0CGMC8WS9,2025-12,train,240.38709677419354,228.9529343830914,3528.7200000000003,3379.3453114944286,14.759999999999998
company:tnl:all:log_linear,tnl,Low-confidence Hero product,B0CGMC8WS9,2026-01,train,264.6774193548387,274.65194681356155,3938.3999999999996,4086.8209685857955,14.879999999999997
company:tnl:all:log_linear,tnl,Low-confidence Hero product,B0CGMC8WS9,2026-02,train,314.2142857142857,304.87404798759394,4338.5828571428565,4212.488274480012,13.817142857142855
company:tnl:all:log_linear,tnl,Low-confidence Hero product,B0CGMC8WS9,2026-03,train,363.35483870967744,320.6262858744896,5137.55870967742,4585.990166346732,14.30322580645161
company:tnl:all:log_linear,tnl,Low-confidence Hero product,B0CGMC8WS9,2026-04,train,378.26666666666665,258.0805717966539,5230.987333333334,3584.0509273973967,13.887333333333329
company:tnl:all:log_linear,tnl,Low-confidence Hero product,B0CGMC8WS9,2026-05,train,510.3333333333333,344.5117728568531,6855.961666666666,4698.56639547938,13.638333333333328
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0CMDGP48L,2025-06,train,105.23333333333333,183.94380588764653,1893.1476666666665,3309.1490679187623,17.990000000000006
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0CMDGP48L,2025-07,train,128.48387096774192,189.4349028343712,2311.424838709677,3407.933901990339,17.990000000000006
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0CMDGP48L,2025-08,train,132.48387096774192,234.97621841984864,2383.384838709677,4227.222169373078,17.990000000000006
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0CMDGP48L,2025-09,train,131.83333333333334,207.40013465063043,2371.681666666667,3731.1284223648427,17.990000000000006
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0CMDGP48L,2025-10,train,124.64516129032258,180.73115724927212,2178.900322580645,3188.2142146237734,17.640645161290326
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0CMDGP48L,2025-11,train,123.86666666666666,208.77894170980593,1967.741666666667,3348.1878882001583,16.037000000000003
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0CMDGP48L,2025-12,train,105.16129032258064,159.6733436341586,1871.8261290322582,2847.7998374803224,17.83516129032259
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0CMDGP48L,2026-01,train,104.41935483870968,164.69137124788514,1734.2929032258069,2751.089667322737,16.70451612903226
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0CMDGP48L,2026-02,train,118.75,180.73708065115312,1660.8671428571429,2535.0312030045493,14.026071428571433
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0CMDGP48L,2026-03,train,114.80645161290323,156.76565123263782,1666.307741935484,2274.1133341715245,14.50645161290323
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0CMDGP48L,2026-04,train,138.63333333333333,163.23111923500034,2078.113666666667,2446.8344773326558,14.990000000000006
company:tnl:all:log_linear,tnl,Mighty Patch face/body extensions,B0CMDGP48L,2026-05,train,147.91666666666666,163.97539090847349,2217.2708333333335,2457.9911097180184,14.990000000000004
company:tnl:all:log_linear,tnl,Mighty Patch core,B0D38DMBPQ,2025-06,train,377.96666666666664,365.7926340337208,5108.363333333334,4939.78566086938,13.504333333333342
