company,company_label,stock_ticker,date,month,close,adj_close,volume,month_return,index_100
"coway","Coway","021240.KS","2023-09-27","2023-09","41300","37724.52","131224","4.4","51.57"
"coway","Coway","021240.KS","2023-10-31","2023-10","43200","39460.02","169287","4.6","53.94"
"coway","Coway","021240.KS","2023-11-30","2023-11","50000","45671.33","320578","15.74","62.44"
"coway","Coway","021240.KS","2023-12-28","2023-12","57200","53490.9","137434","17.12","73.13"
"coway","Coway","021240.KS","2024-01-31","2024-01","55300","51714.1","164760","3.32","70.7"
"coway","Coway","021240.KS","2024-02-29","2024-02","54200","50685.43","270971","1.99","69.29"
"coway","Coway","021240.KS","2024-03-29","2024-03","56000","52368.71","103004","3.32","71.59"
"coway","Coway","021240.KS","2024-04-30","2024-04","55700","52088.16","159641","0.54","71.21"
"coway","Coway","021240.KS","2024-05-31","2024-05","56400","52742.77","376410","1.26","72.1"
"coway","Coway","021240.KS","2024-06-28","2024-06","64200","60036.99","219683","13.83","82.07"
"coway","Coway","021240.KS","2024-07-31","2024-07","62300","58260.19","164649","2.96","79.65"
"coway","Coway","021240.KS","2024-08-30","2024-08","67200","62842.46","533971","7.87","85.91"
"coway","Coway","021240.KS","2024-09-30","2024-09","66700","62374.88","184069","0.74","85.27"
"coway","Coway","021240.KS","2024-10-31","2024-10","63000","58914.8","298147","5.55","80.54"
"coway","Coway","021240.KS","2024-11-29","2024-11","65900","61626.75","171436","4.6","84.25"
"coway","Coway","021240.KS","2024-12-30","2024-12","66900","65086.66","107640","5.61","88.98"
"coway","Coway","021240.KS","2025-01-31","2025-01","77300","75204.77","173042","15.55","102.81"
"coway","Coway","021240.KS","2025-02-28","2025-02","81000","78804.48","400133","4.79","107.73"
"coway","Coway","021240.KS","2025-03-31","2025-03","81000","78804.48","264180","0","107.73"
"coway","Coway","021240.KS","2025-04-30","2025-04","87700","85322.87","271331","8.27","116.64"
"coway","Coway","021240.KS","2025-05-30","2025-05","88900","86490.34","683574","1.37","118.24"
"coway","Coway","021240.KS","2025-06-30","2025-06","96800","94176.21","238675","8.89","128.74"
"coway","Coway","021240.KS","2025-07-31","2025-07","108900","105948.23","163071","12.5","144.84"
"coway","Coway","021240.KS","2025-08-29","2025-08","104200","101375.63","75149","4.32","138.59"
"coway","Coway","021240.KS","2025-09-30","2025-09","98500","95830.13","124184","5.47","131.01"
"coway","Coway","021240.KS","2025-10-31","2025-10","89200","86782.21","238417","9.44","118.64"
"coway","Coway","021240.KS","2025-11-28","2025-11","86000","83668.95","234659","3.59","114.38"
"coway","Coway","021240.KS","2025-12-30","2025-12","86900","84544.55","135185","1.05","115.58"
"coway","Coway","021240.KS","2026-01-30","2026-01","83400","81139.42","521850","4.03","110.92"
"coway","Coway","021240.KS","2026-02-27","2026-02","81900","79680.08","7067695","1.8","108.93"
"coway","Coway","021240.KS","2026-03-31","2026-03","72200","70243","420265","11.84","96.03"
