company,company_label,country_scope,month,quarter,export_value_usd,export_value_krw,export_weight_kg
"samyang","삼양식품","total","2014-04","2014-Q2","25511120","26560177391","6161643.86"
"samyang","삼양식품","total","2014-05","2014-Q2","23395906","23805505868","5477197.5"
"samyang","삼양식품","total","2014-06","2014-Q2","23125430","23372318157","5506805.6"
"samyang","삼양식품","total","2014-07","2014-Q3","22682511","22875180037","5513919.9"
"samyang","삼양식품","total","2014-08","2014-Q3","20687032","21043204964","4986033.1"
"samyang","삼양식품","total","2014-09","2014-Q3","23339574","23787794900","5543553.5"
"samyang","삼양식품","total","2014-10","2014-Q4","24958182","26197963396","6086861"
"samyang","삼양식품","total","2014-11","2014-Q4","23967052","25684254909","6058888.7"
"samyang","삼양식품","total","2014-12","2014-Q4","21926808","24030854413","5439412.9"
"samyang","삼양식품","total","2015-01","2015-Q1","23713746","25653656010","5796728.9"
"samyang","삼양식품","total","2015-02","2015-Q1","19595403","21201624296","4996691.5"
"samyang","삼양식품","total","2015-03","2015-Q1","25133395","27674182694","6558223.3"
"samyang","삼양식품","total","2015-04","2015-Q2","26350937","28592960121","6852142.1"
"samyang","삼양식품","total","2015-05","2015-Q2","20945016","22524173038","5463927"
"samyang","삼양식품","total","2015-06","2015-Q2","24572413","27023259822","6365116"
"samyang","삼양식품","total","2015-07","2015-Q3","23601466","26492544773","6270672.6"
"samyang","삼양식품","total","2015-08","2015-Q3","21981510","25569810337","5855546.3"
"samyang","삼양식품","total","2015-09","2015-Q3","25577169","30035546759","6714483.5"
"samyang","삼양식품","total","2015-10","2015-Q4","27100514","31073810236","7289300.5"
"samyang","삼양식품","total","2015-11","2015-Q4","27583267","31364214405","7445425.9"
"samyang","삼양식품","total","2015-12","2015-Q4","26746677","30953779164","7046130.5"
"samyang","삼양식품","total","2016-01","2016-Q1","22480722","26580727210","6193259.3"
"samyang","삼양식품","total","2016-02","2016-Q1","23896564","28556200185","6370705.9"
"samyang","삼양식품","total","2016-03","2016-Q1","30223371","36062093339","8549627.1"
"samyang","삼양식품","total","2016-04","2016-Q2","27518268","31378064927","7597443.74"
"samyang","삼양식품","total","2016-05","2016-Q2","28634150","32994254021","8014098.228"
"samyang","삼양식품","total","2016-06","2016-Q2","29743479","34514450016","8256691.372"
"samyang","삼양식품","total","2016-07","2016-Q3","32268024","36777087167","8904397.806"
"samyang","삼양식품","total","2016-08","2016-Q3","34719522","38268587348","9491089.394"
"samyang","삼양식품","total","2016-09","2016-Q3","35741771","39383554477","10040694.432"
"samyang","삼양식품","total","2016-10","2016-Q4","37754302","41768071210","10336477.598"
"samyang","삼양식품","total","2016-11","2016-Q4","37814552","43221520914","10870470.58"
"samyang","삼양식품","total","2016-12","2016-Q4","35068177","40835671104","10207493.308"
"samyang","삼양식품","total","2017-01","2017-Q1","31873049","37725196783","9159427.461"
"samyang","삼양식품","total","2017-02","2017-Q1","42644992","48588783929","11923764.195"
"samyang","삼양식품","total","2017-03","2017-Q1","43225323","48778880285","12189013.07"
"samyang","삼양식품","total","2017-04","2017-Q2","36409018","40729268787","10511474.347"
"samyang","삼양식품","total","2017-05","2017-Q2","30111432","33626726712","8392687.63"
"samyang","삼양식품","total","2017-06","2017-Q2","37882967","42260630332","10775348.125"
"samyang","삼양식품","total","2017-07","2017-Q3","36811187","41537678858","10790849.488"
"samyang","삼양식품","total","2017-08","2017-Q3","38856609","43464774169","11379040.789"
"samyang","삼양식품","total","2017-09","2017-Q3","50327189","56273249186","15384524.8"
"samyang","삼양식품","total","2017-10","2017-Q4","36711911","41255390015","10589053.327"
"samyang","삼양식품","total","2017-11","2017-Q4","59228185","65335065237","14619823.675"
"samyang","삼양식품","total","2017-12","2017-Q4","42122873","45394090509","12249761.185"
"samyang","삼양식품","total","2018-01","2018-Q1","43865660","46391616619","12218519.247"
"samyang","삼양식품","total","2018-02","2018-Q1","36439999","38862013144","10303296.036"
"samyang","삼양식품","total","2018-03","2018-Q1","48130511","51090942166","13467354.851"
"samyang","삼양식품","total","2018-04","2018-Q2","47172010","49846679148","13159853.502"
"samyang","삼양식품","total","2018-05","2018-Q2","47641947","50776929155","13433506.286"
"samyang","삼양식품","total","2018-06","2018-Q2","48122817","51778038695","14208845.295"
"samyang","삼양식품","total","2018-07","2018-Q3","38771551","43056372977","10580046.787"
"samyang","삼양식품","total","2018-08","2018-Q3","44056605","49057853179","12342502.303"
"samyang","삼양식품","total","2018-09","2018-Q3","39606623","43906413671","11066817.07"
"samyang","삼양식품","total","2018-10","2018-Q4","49501067","55238419486","14142776.181"
"samyang","삼양식품","total","2018-11","2018-Q4","43296951","48469603108","12167956.137"
"samyang","삼양식품","total","2018-12","2018-Q4","36098756","40205470583","10180414.615"
"samyang","삼양식품","total","2019-01","2019-Q1","43325331","48169212574","12372916.999"
"samyang","삼양식품","total","2019-02","2019-Q1","38046578","42313222731","10786521.031"
"samyang","삼양식품","total","2019-03","2019-Q1","49124438","54876968250","14287457.746"
"samyang","삼양식품","total","2019-04","2019-Q2","51482536","57975274234","15139443.284"
"samyang","삼양식품","total","2019-05","2019-Q2","50256734","58516477686","14709880.198"
"samyang","삼양식품","total","2019-06","2019-Q2","46194436","54147439062","13408605.109"
"samyang","삼양식품","total","2019-07","2019-Q3","48959705","56775918081","14245031.501"
"samyang","삼양식품","total","2019-08","2019-Q3","49023061","58406343024","14732771.235"
"samyang","삼양식품","total","2019-09","2019-Q3","49653532","59046321723","14637144.096"
"samyang","삼양식품","total","2019-10","2019-Q4","58212321","68641876306","17661353.165"
"samyang","삼양식품","total","2019-11","2019-Q4","58251935","67245504486","17532430.647"
"samyang","삼양식품","total","2019-12","2019-Q4","49741189","58097402418","14892475.626"
"samyang","삼양식품","total","2020-01","2020-Q1","47723397","54873482512","14047247.142"
"samyang","삼양식품","total","2020-02","2020-Q1","53427840","62676653379","15702595.202"
"samyang","삼양식품","total","2020-03","2020-Q1","66497357","79974266319","19787168.671"
"samyang","삼양식품","total","2020-04","2020-Q2","75452444","91611106522","22432788.461"
"samyang","삼양식품","total","2020-05","2020-Q2","66710647","81033199624","20155170.011"
"samyang","삼양식품","total","2020-06","2020-Q2","66431654","80109569978","19861681.963"
"samyang","삼양식품","total","2020-07","2020-Q3","72293533","85994898916","21889791.055"
"samyang","삼양식품","total","2020-08","2020-Q3","60121448","70756669655","18838179.202"
"samyang","삼양식품","total","2020-09","2020-Q3","67381347","78934383186","20200299.192"
"samyang","삼양식품","total","2020-10","2020-Q4","62818039","71835000939","18765556.857"
"samyang","삼양식품","total","2020-11","2020-Q4","60923606","67688397985","18330021.29"
"samyang","삼양식품","total","2020-12","2020-Q4","71115015","77363514385","19520836.746"
"samyang","삼양식품","total","2021-01","2021-Q1","68065951","73785499893","19569462.689"
"samyang","삼양식품","total","2021-02","2021-Q1","60755635","66849758918","17557005.895"
"samyang","삼양식품","total","2021-03","2021-Q1","78496240","87595769767","22465342.217"
"samyang","삼양식품","total","2021-04","2021-Q2","76083055","84700086981","21800326.397"
"samyang","삼양식품","total","2021-05","2021-Q2","69253608","76880458196","19191235.826"
"samyang","삼양식품","total","2021-06","2021-Q2","70375505","77961441244","20397833.815"
"samyang","삼양식품","total","2021-07","2021-Q3","69310338","78199466540","20254346.789"
"samyang","삼양식품","total","2021-08","2021-Q3","68051180","77976952359","19948486.715"
"samyang","삼양식품","total","2021-09","2021-Q3","73093682","84514305010","21443512.544"
"samyang","삼양식품","total","2021-10","2021-Q4","76683561","90096117100","22740155.384"
"samyang","삼양식품","total","2021-11","2021-Q4","81668808","95318311399","24048467.306"
"samyang","삼양식품","total","2021-12","2021-Q4","83846488","98302490363","23986363.308"
"samyang","삼양식품","total","2022-01","2022-Q1","74935652","88404083226","21078268.285"
"samyang","삼양식품","total","2022-02","2022-Q1","67207499","79839932211","19350399.549"
"samyang","삼양식품","total","2022-03","2022-Q1","88417170","106472342969","25028913.89"
"samyang","삼양식품","total","2022-04","2022-Q2","75974853","92116045865","21065682.133"
"samyang","삼양식품","total","2022-05","2022-Q2","94985373","119314978888","26978878.474"
"samyang","삼양식품","total","2022-06","2022-Q2","81724852","102754287163","23273940.318"
"samyang","삼양식품","total","2022-07","2022-Q3","76518425","98664665369","21774303.442"
"samyang","삼양식품","total","2022-08","2022-Q3","76459773","99283038452","21939562.707"
"samyang","삼양식품","total","2022-09","2022-Q3","79813245","109165980743","21890582.147"
"samyang","삼양식품","total","2022-10","2022-Q4","78985912","112626947114","22892635.342"
"samyang","삼양식품","total","2022-11","2022-Q4","82224165","113785578275","23824530.038"
"samyang","삼양식품","total","2022-12","2022-Q4","85462453","112123740782","24328960.805"
"samyang","삼양식품","total","2023-01","2023-Q1","76978265","96736111452","20607132.333"
"samyang","삼양식품","total","2023-02","2023-Q1","86939871","108997206895","23484927.984"
"samyang","삼양식품","total","2023-03","2023-Q1","92011633","120252637410","24324004.343"
"samyang","삼양식품","total","2023-04","2023-Q2","89047895","116803750445","22759346.98"
"samyang","삼양식품","total","2023-05","2023-Q2","90826586","121009376221","23413943.503"
"samyang","삼양식품","total","2023-06","2023-Q2","106435179","138228135933","27406964.69"
"samyang","삼양식품","total","2023-07","2023-Q3","91693589","118546475861","24046225.01"
"samyang","삼양식품","total","2023-08","2023-Q3","102928730","134961496108","26134500.611"
"samyang","삼양식품","total","2023-09","2023-Q3","107364527","142507190573","28187292.473"
"samyang","삼양식품","total","2023-10","2023-Q4","105871006","142742651118","27759512.39"
"samyang","삼양식품","total","2023-11","2023-Q4","109221794","144580607346","28591394.93"
"samyang","삼양식품","total","2023-12","2023-Q4","94126160","122716621515","24138529.052"
"samyang","삼양식품","total","2024-01","2024-Q1","103688646","136338590840","26192488.561"
"samyang","삼양식품","total","2024-02","2024-Q1","107662956","143448953710","26865755.177"
"samyang","삼양식품","total","2024-03","2024-Q1","107751877","143089987386","27748328.868"
"samyang","삼양식품","total","2024-04","2024-Q2","128923102","175180202309","32295733.277"
"samyang","삼양식품","total","2024-05","2024-Q2","125666030","171828058832","32014505.71"
"samyang","삼양식품","total","2024-06","2024-Q2","122607782","168553709730","30575457.462"
"samyang","삼양식품","total","2024-07","2024-Q3","129144562","178741814612","32550304.854"
"samyang","삼양식품","total","2024-08","2024-Q3","118380453","161599617596","29962285.203"
"samyang","삼양식품","total","2024-09","2024-Q3","121085276","161612543018","30413251.619"
"samyang","삼양식품","total","2024-10","2024-Q4","136831034","184077809140","34131008.204"
"samyang","삼양식품","total","2024-11","2024-Q4","137544605","191155689745","35346394.818"
