company,source_folder,file_name,file_path,asin,report_generated_at,raw_row_count,raw_column_count,raw_columns,date_column,asin_column,product_name_column,brand_column,category_column,price_column,monthly_sales_column,monthly_revenue_column,bsr_column,reviews_column,rating_column,sellers_column,derived_monthly_revenue,date_source,filename_date_hint,date_min,date_max,distinct_months,date_missing_rows,price_nonzero_rows,price_zero_rows,price_na_rows,monthly_sales_na_rows,bsr_na_rows,reviews_na_rows,rating_na_rows,sellers_na_rows,auto_mappable_columns,uncertain_columns,missing_standard_columns,numeric_format_flags,data_quality_warnings
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_26 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_26 GMT+0900 (한국 표준시).csv","B0F7714ZVM","Tue May 26 2026 13:54:26 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","293","437","0","369","369","489","489","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_28 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_28 GMT+0900 (한국 표준시).csv","B0F25DNYT9","Tue May 26 2026 13:54:28 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","401","329","0","318","318","490","490","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_30 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_30 GMT+0900 (한국 표준시).csv","B07DYDT8R9","Tue May 26 2026 13:54:30 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","697","33","0","1","1","264","264","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_31 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_31 GMT+0900 (한국 표준시).csv","B0FJYQ2JD4","Tue May 26 2026 13:54:31 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","166","564","0","521","521","565","565","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_33 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_33 GMT+0900 (한국 표준시).csv","B0D97YW3MJ","Tue May 26 2026 13:54:33 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","636","94","0","81","81","474","474","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_37 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_37 GMT+0900 (한국 표준시).csv","B0F25BWWV3","Tue May 26 2026 13:54:37 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","401","329","0","312","312","512","512","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_39 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_39 GMT+0900 (한국 표준시).csv","B0CJLWXSK9","Tue May 26 2026 13:54:39 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","0","730","0","1","1","455","455","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","price is zero in 730/730 rows | sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_41 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_41 GMT+0900 (한국 표준시).csv","B0FBRJXV7V","Tue May 26 2026 13:54:41 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","290","440","0","435","435","491","491","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_43 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_43 GMT+0900 (한국 표준시).csv","B07N8TQSBT","Tue May 26 2026 13:54:43 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","724","6","0","1","1","474","474","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"samyang","samyang","Catalyst Product Historical Data - Tue May 26 2026 13_54_44 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/samyang/Catalyst Product Historical Data - Tue May 26 2026 13_54_44 GMT+0900 (한국 표준시).csv","B0CG1KTF9H","Tue May 26 2026 13:54:44 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","719","11","0","1","1","261","261","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
